time,wx,wy,wz
10.326653957366943,0.98,1.36,0.3
10.336644172668457,0.98,1.33,0.21
10.350245952606201,1.01,1.22,0.09
10.356871128082275,1.08,1.25,-0.0
10.366415977478027,1.17,1.52,-0.01
10.376286029815674,1.28,1.95,0.09
10.386067152023315,1.3,2.41,0.28
10.395895004272461,1.28,2.47,0.6
10.411538124084473,1.25,2.16,0.82
10.418679237365723,1.24,1.56,0.9
10.426123142242432,1.13,0.95,0.86
10.43561315536499,0.91,0.6,0.67
10.452512264251709,0.63,0.5,0.5
10.45911693572998,0.36,0.53,0.38
10.466935157775879,0.15,0.65,0.28
10.482917070388794,-0.01,0.8,0.21
10.48950719833374,-0.11,0.93,0.14
10.49937105178833,-0.18,1.07,0.07
10.506287097930908,-0.25,1.16,-0.01
10.516148090362549,-0.29,1.17,-0.08
10.524838924407959,-0.32,1.15,-0.16
10.534873962402344,-0.3,1.09,-0.24
10.544887065887451,-0.29,0.96,-0.29
10.554566144943237,-0.27,0.79,-0.34
10.564465045928955,-0.26,0.57,-0.4
10.574672222137451,-0.28,0.39,-0.46
10.58445405960083,-0.3,0.26,-0.53
10.59435224533081,-0.31,0.17,-0.6
10.60411024093628,-0.32,0.18,-0.69
10.619569063186646,-0.3,0.29,-0.76
10.627217054367065,-0.25,0.49,-0.82
10.634054183959961,-0.18,0.79,-0.88
10.651113986968994,-0.08,1.15,-0.92
10.657801151275635,0.09,1.46,-0.93
10.664837121963501,0.34,1.59,-0.9
10.684345245361328,1.27,0.94,-0.64
10.684921264648438,1.27,0.94,-0.64
10.694069147109985,1.57,0.78,-0.3
10.704154014587402,1.37,0.56,0.21
10.716952085494995,0.63,0.32,0.67
10.723845958709717,-0.23,0.21,0.95
10.733613967895508,-0.75,0.14,1.24
10.74295425415039,-0.84,0.25,1.39
10.75298810005188,-0.65,0.63,1.17
10.76287317276001,-0.35,1.17,0.62
10.772839069366455,-0.01,1.54,0.1
10.782976150512695,0.3,1.29,0.09
10.792744159698486,0.48,0.59,0.06
10.802895069122314,0.47,-0.41,-0.37
10.812623023986816,0.14,-0.89,-1.12
10.822481155395508,-0.52,-0.3,-1.78
10.832702159881592,-1.31,0.43,-1.86
10.842577934265137,-1.75,0.55,-1.0
10.852668046951294,-1.69,0.14,0.14
10.86237907409668,-1.32,-0.15,0.32
10.872313022613525,-0.91,-0.15,0.23
10.88178825378418,-0.67,0.1,0.12
10.891916275024414,-0.5,0.26,0.06
10.902523040771484,-0.31,0.12,0.01
10.912035942077637,-0.17,-0.31,-0.15
10.921654224395752,-0.09,-0.78,-0.43
10.931557178497314,-0.04,-1.17,-0.57
10.941572189331055,-0.04,-1.38,-0.66
10.951871156692505,-0.14,-1.41,-0.71
10.96136999130249,-0.31,-1.38,-0.71
10.97117304801941,-0.47,-1.42,-0.59
10.981122970581055,-0.48,-1.7,-0.47
10.991436958312988,-0.42,-1.94,-0.38
11.001192092895508,-0.34,-2.12,-0.31
11.01538896560669,-0.33,-2.26,-0.27
11.023008108139038,-0.37,-2.35,-0.26
11.030707120895386,-0.45,-2.39,-0.26
11.040830135345459,-0.52,-2.38,-0.27
11.050890922546387,-0.55,-2.37,-0.31
11.060807228088379,-0.58,-2.35,-0.38
11.070518970489502,-0.6,-2.27,-0.43
11.080223083496094,-0.63,-2.16,-0.49
11.090492248535156,-0.64,-1.99,-0.51
11.100425243377686,-0.65,-1.82,-0.5
11.114712238311768,-0.69,-1.67,-0.49
11.121979236602783,-0.75,-1.57,-0.47
11.130154132843018,-0.81,-1.48,-0.42
11.139963150024414,-0.83,-1.34,-0.36
